unidade;ano;mes;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;2019;4;II;6 a 10;0,559;2;1;1,12
HJK;2019;5;III;11 a 5;0,731;2;1;1,46
HJK;2019;9;III;11 a 5;0,731;2;1;1,46
HJK;2019;9;IV;> 15;1,0;1;1;1,0
HJK;2019;11;III;11 a 5;0,731;3;1;2,19
HJK;2020;3;IV;> 15;1,0;1;1;1,0
HJK;2020;8;III;11 a 5;0,731;2;2;1,46
HJK;2020;11;II;6 a 10;0,559;2;1;1,12
HJK;2020;12;II;6 a 10;0,559;2;1;1,12
HJK;2021;5;III;11 a 5;0,731;1;1;0,73
HJK;2021;7;IV;> 15;1,0;1;1;1,0
HJK;2021;10;III;11 a 5;0,731;1;1;0,73
HJK;2022;3;III;11 a 5;0,731;1;1;0,73
HJK;2022;5;III;11 a 5;0,731;1;1;0,73
HJK;2023;6;III;11 a 5;0,731;2;2;1,46
HJK;2023;11;IV;> 15;1,0;1;1;1,0
HJK;2023;12;III;11 a 5;0,731;3;1;2,19
HJK;2024;3;IV;> 15;1,0;1;1;1,0
HJK;2024;4;III;11 a 5;0,731;1;1;0,73
HJK;2024;5;III;11 a 5;0,731;2;2;1,46
HJK;2024;6;III;11 a 5;0,731;2;1;1,46
HJK;2024;7;III;11 a 5;0,731;1;1;0,73
HJK;2024;10;I;0 a 5;0,093;1;1;0,09
HJK;2024;10;II;6 a 10;0,559;2;1;1,12
HJK;2025;3;III;11 a 5;0,731;2;1;1,46
HJK;2025;5;III;11 a 5;0,731;3;2;2,19
HJK;2025;8;III;11 a 5;0,731;2;1;1,46
HJK;2025;10;III;11 a 5;0,731;2;1;1,46
HJK;2025;11;III;11 a 5;0,731;2;1;1,46
HRAD;2019;2;II;6 a 10;0,559;3;1;1,68
HRAD;2019;3;II;6 a 10;0,559;2;1;1,12
HRAD;2019;4;III;11 a 5;0,731;2;2;1,46
HRAD;2019;5;III;11 a 5;0,731;2;1;1,46
HRAD;2019;6;II;6 a 10;0,559;1;1;0,56
